电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
遗愿,蒂莫西·伍德沃,JeffreyReddick/WilliamHalfon/JonathanDoyle,林·沙烨/迈克·韦尔奇/梅丽莎·博洛纳/史宾塞·洛克/托尼·托德,恐怖,美国,英语,2018-10-17(美国),95分钟,最后的愿望,tt9109306
野生狼性,FriedrichBöhm,FriedrichBöhm/FlorianEder,丽芙·泰勒/布拉德·道里夫/蓓尔·波利/詹姆斯·勒格罗/巴威石·帕特尔/弗兰克·迪尔/夏洛特·阿本/帕特里克·M·沃尔什/基南·乔利夫/MikeFaist/TroyRuptash/KellyLamorWilson/布莱恩·多纳休/JuliaRusatsky/CollinKelly-Sordelet,恐怖/奇幻,美国,英语,2018-04-13(美国),92分钟,,tt5085924
房客,BrianO'Malley,DavidTurpin,尤金·西蒙/大卫·布拉德利/莫·邓福德/比尔·米尔纳/迪尔德丽·奥卡尼/夏洛特·维嘉/RoisinMurphy/EmmetKelly,恐怖,爱尔兰,英语,2017-09-08(多伦多电影节)/2018-03-09(爱尔兰),92分钟,房剋(台),tt4399952
美人鱼之死亡湖,SvyatoslavPodgaevskiy,纳塔莉亚·杜波瓦亚/伊凡·卡普托诺夫/SvyatoslavPodgaevskiy,维多利亚·阿加拉科娃/EfimPetrunin/尼基塔·埃列涅夫/塞西尔·普尔哲/伊格·克里普诺夫/索菲亚·什德洛夫斯卡娅/达利亚·亚尔茨瓦夫/德米特里·亚采尔/阿拉·阿塔莫诺娃/埃米尔·沙莱斯/霍普·伊戈什娜,爱情/恐怖/奇幻,俄罗斯,俄语,2018-07-12(俄罗斯),87分钟,鬼人鱼：死水禁地(台)/TheMermaid:TheLakeoftheDead,tt7162390
禁入直播,丹尼尔·歌德哈伯,伊莎·马齐/丹尼尔·歌德哈伯/伊莎贝尔·林克-莱维,玛德琳·布鲁尔/帕奇·德拉奇/梅洛拉·沃尔特斯/戴文·德鲁伊/伊马尼·哈基姆/迈克尔·登普西/弗洛拉·迪亚兹/萨曼莎·罗宾森/杰西卡·帕克·肯尼迪/奎维·坦/以利亚·史蒂文森/伊莎·马齐,悬疑/惊悚/恐怖,美国,英语,2018-11-16(美国),94分钟,网络红人(港),tt8361028
鬼屋,RichRagsdale,KevinO'Sullivan/JasonChaseTyrrell,丝柯·泰勒-考普顿/詹姆斯·兰德里·赫伯特/小马克·布恩/RussellGeoffreyBanks/RichLeeGray/ElanaKrausz/KevinRagsdale/Wen-ChuYang/MichaelS.New/KatrinaGrey,惊悚/恐怖,泰国/美国,英语/泰语,2017-08-25(美国),100分钟,鬼屋泰凄厉(台)/猛鬼抓交替(台),tt4365566
曼蒂,帕诺斯·科斯马图斯,帕诺斯·科斯马图斯/亚伦·斯图尔特-安,尼古拉斯·凯奇/安德丽亚·瑞斯波罗格/莱纳斯·罗彻/奈德·丹内利/欧文·弗热瑞/理查德·布雷克/比尔·杜克/兰恩·皮雷/克莱蒙·马霍内/亚历克西斯·朱蒙特,动作/恐怖/犯罪,美国/比利时/英国,英语,2018-01-19(圣丹斯电影节)/2018-09-14(美国),121分钟,狂屠绝路(港)/曼迪,tt6998518
地狱铁匠,保尔·乌尔基霍·阿利霍,保尔·乌尔基霍·阿利霍/亚瑟·古里恰切瓦里亚,坎迪多·乌兰加/乌玛·布拉卡利亚/恩尼科·萨伽多伊/乔斯因·本格特伊/哥顿·桑切斯/艾托·乌尔塞莱/齐戈·毕尔巴鄂/阿尔姆德娜·熙德/安德·帕尔多/弗兰克·格里什,恐怖/奇幻,西班牙/法国,巴斯克语,2017-10-12(锡切斯电影节),98分钟,Errementari:TheBlacksmithandtheDevil,tt5592878
鬼网,黄国强/黄国辉/游达志,杜瑞榕/岑君茜/廖智勇/陈探,陈家乐/麦子乐/郭奕芯/鲍康儿/许雅婷/简淑儿/张建声/蒋祖曼,悬疑/惊悚/恐怖,香港,粤语,2017-11-23(香港),98分钟,GhostNet,tt7736104
心怀恶意,MichaelWinnick,MichaelWinnick,博亚娜·诺瓦科维奇/乔什·斯图沃特/戴尔里·林多/梅丽莎·博洛纳/伊薇特·耶茨/贾克琳·弗莱明/卢克·爱德华兹/本·范德梅/JoyKateLawson/BaileeMyKellCowperthwaite,惊悚/恐怖,美国,英语,2018-10-18(美国),91分钟,恶孕(台)/TheCurse,tt6197494
好孩子,马可·杜特拉/朱莉安娜·罗夏斯,朱莉安娜·罗夏斯/马可·杜特拉,伊萨贝尔·祖拉/玛乔丽·伊斯迪安努/米格尔·洛博/希达·莫雷拉/安德列·马克/马拉特·德斯卡尔奇斯/露西安娜·帕埃斯,剧情/恐怖/奇幻,巴西/法国/德国,葡萄牙语,2017-08-06(洛迦诺电影节)/2018-06-07(巴西),135分钟,礼貌/彬彬有礼/GoodManners,tt5480782
