电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
猛虎还活着,阿里·阿巴斯·札法,阿里·阿巴斯·札法/尼尔士·米斯拉/阿迪提亚·乔普拉,萨尔曼·汗/卡特莉娜·卡芙/萨贾德·德拉弗罗兹/安加德·贝迪/帕莱什·拉瓦尔/帕雷什·帕胡加/库玛·米什拉/加维·查哈尔/丹尼什·巴特/阿努普瑞雅·戈恩卡/吉里什·卡纳德/阿南特·维哈特·夏尔马/妮哈·辛吉/扎卡里·柯芬,动作/惊悚/冒险,印度,印地语/英语,2017-12-22(印度),161分钟,老虎是活的,tt5956100
代码211,纽科·萨克里顿,纽科·萨克里顿,尼古拉斯·凯奇/索菲亚·斯凯尔顿/DwayneCameron/温斯顿·凯奇/科里·哈德里克/阿曼達·瑟妮/MichaelBellisario,动作,美国,英语,2018-06-08(美国),87分钟,211紧急呼救(台)/代码二一一/二一一/#211,tt4976192
六天,托亚·弗莱瑟,格伦·斯坦德灵,杰米·贝尔/马克·斯特朗/艾比·考尼什/马丁·肖/本·特纳/埃蒙·埃利奥特/艾蒙·汉道奇/安得烈·格兰杰/特克赫·图哈卡/威廉·丘布/罗南·维博特/蒂姆·唐尼/马修·桑德兰/肯尼斯·克拉德/尼古拉斯·博尔顿/基普·查普曼/埃里克·科尔文/约翰·亨肖/科林·莫伊/蒂姆·皮戈特-史密斯/罗伯特·波特尔/杰·萨瑟兰/贾里德·特纳,剧情/动作/惊悚/历史,英国/新西兰,英语,2017-08-04(新西兰电影节)/2017-09-07(新西兰),94分钟,六日,tt4703048
四大名捕之入梦妖灵,项秋良/项河生,方岚/玄晴/付火,陈子由/刘林城/康宁,动作/悬疑/武侠,中国大陆,汉语普通话,2018-11-08(中国大陆),77分钟,上影版四大名捕,
为爱叛逆2之逆战到底,阿赫梅德·坎,侯赛因·达拉尔/阿巴斯·希拉普瓦拉/JojoKhan/尼拉杰·库马尔·米斯拉/萨吉德·纳迪德韦拉,泰戈尔·什罗夫/迪莎·帕塔尼/马诺杰·巴杰帕伊/兰迪普·弘达/迪帕克·迪布里亚尔/普拉提克·巴巴尔/达山·库马尔/杰奎琳·费南德斯/拉克希米·曼楚/维品·沙尔马,动作/惊悚,印度,印地语/英语,2018-03-30(印度),137分钟,逆战士/反叛者,tt6843812
九门提督,张博,胡岳,刘锐/洪浚嘉/郭万超/朱晓鸣/徐少强/王婷,动作/古装,中国大陆,汉语普通话,2018-06-22(中国大陆),85分钟,AssassinsofBrotherhood,
时间陷阱,马克·丹尼斯/本·福斯特,马克·丹尼斯,安德鲁·威尔逊/卡西迪·吉福德/布里安娜·豪伊/雷利·麦克伦顿/马克思·怀特/汉斯·马雷罗/戈泊尔·比达里/特洛伊·迪林格,动作/科幻/冒险,美国,英语,2017-05-19(西雅图电影节)/2018-11-02(美国),87分钟,時空陷阱(台),tt4815122
勒索风云,菲尔·沃尔肯,菲尔·沃尔肯,艾恩·贝利/贝瑟妮·乔伊·盖里奥迪/巴克德·阿巴蒂/丹尼·格洛弗/蒂姆·格里芬/毛里西奥·阿莱马尼/杰克·华莱士/马丽琳达·里维拉,剧情/动作/惊悚/犯罪/冒险,美国/波多黎各,英语,2017-05-16(美国DVD-蓝光发行),108分钟,加勒比海之勒索风云,tt2957760
乌里：外科手术式打击,AdityaDhar,AdityaDhar,维杰·卡沙尔/亚米·高塔姆/基尔蒂·库哈里,剧情/动作/战争,印度,印地语,2019-01-11(印度/美国),138分钟,,tt8291224
乐高幻影忍者大电影,查理·宾/保罗·费舍尔/鲍勃·洛根,鲍勃·洛根/保罗·费舍尔/威廉·惠勒/汤姆·惠勒/贾里德·斯特恩/约翰·惠廷顿/希拉里·温斯顿/丹·哈格曼/凯文·哈格曼,成龙/戴夫·弗兰科/弗莱德·阿米森/库梅尔·南贾尼/迈克尔·佩纳/艾比·雅各布森/扎克·伍兹/大卫·布伦斯/贾斯汀·塞洛克斯/黄阿丽/查琳·易/奥立薇娅·玛恩/劳拉·奈特林格/兰道尔·朴/瑞塔/克里斯·哈德维克/迈克尔·斯特拉罕/罗宾·罗伯茨/吴恬敏/加勒特·埃尔金斯/托德·汉森/道格·尼古拉斯,喜剧/动作/动画/冒险,美国/丹麦,英语,2017-09-22(美国),101分钟,乐高忍者大电影/LEGO旋风忍者大电影(港)/乐高旋风忍者电影(台)/乐高忍者/Ninjago,tt3014284
武曲,熊切和嘉,高田亮/藤泽周平,绫野刚/村上虹郎/前田敦子/片冈礼子/神野三铃/康巢恩/风吹淳/小林薰/柄本明,动作/冒险,日本,日语,2017-06-03(日本),125分钟,,tt6103812
