,电影,类型,导演,主演
26,你好，之华,剧情/爱情,岩井俊二,周迅/秦昊/杜江/张子枫/邓恩熙/边天扬/吴彦姝/谭卓/胡歌/胡昌霖/李春明/穆龙/刘靖宇/高炳然/白素娟/刘思博/常海波/李勇/刘笑语/赵芙丽/建圳/郭德诚/王靖宇/孙萍/李泽宇/仇硕康/艺涵/李昊芳/王子璇/王远达/于建波/张俊宇
27,后来的我们,剧情/爱情,刘若英,井柏然/周冬雨/田壮壮/曲哲明/刘启恒/苏小明/邹倚天/张子贤/施予斐/李剑青
28,西游记女儿国,喜剧/爱情/奇幻,郑保瑞,郭富城/冯绍峰/赵丽颖/小沈阳/罗仲谦/林志玲/梁咏琪/刘涛/孙伊涵/苑琼丹/潘斌龙/陈雅丽/施诗
29,解忧杂货店,剧情/奇幻,韩杰,王俊凯/迪丽热巴/董子健/李鸿其/董李无忧/成龙/秦昊/陈都灵/郝蕾/李梦/成泰燊/高华阳/潘斌龙/孟慧圆/孙小野
30,三生三世十里桃花,爱情/奇幻,赵小丁/安东尼·拉默里纳拉,刘亦菲/杨洋/罗晋/严屹宽/李纯/顾璇/陈佩斯/彭子苏/张贺茗/王羽铮/塔拉
31,二代妖精之今生有幸,喜剧/爱情/奇幻,肖洋,冯绍峰/刘亦菲/李光洁/郭京飞/焦俊艳/熊乃瑾/王双宝/张子贤/朱捷/陈芋米/范湉湉/隋凯/崔名扬
32,前任3：再见前任,喜剧/爱情,田羽生,韩庚/郑恺/于文文/曾梦雪/罗米
33,杀破狼·贪狼,剧情/动作,叶伟信,古天乐/吴樾/托尼·贾/林家栋/克里斯·柯林斯/郑雪儿/卢惠光/蔡洁/陈汉娜/维他亚·潘斯林加姆/索姆波布·本贾蒂库尔/斯拉潘·瓦塔纳金达
34,红海行动,动作/战争,林超贤,张译/黄景瑜/海清/杜江/蒋璐霞/尹昉/王强/郭家豪/王雨甜/麦亨利/张涵予/王彦霖
35,昨日青空,爱情/动画,奚超,苏尚卿/王一博/段艺璇/马斑马/慧明
36,风语咒,动画/奇幻,刘阔,路知行/阎萌萌/褚珺/边江/山新/郭政建/张震/苗壮/王冠南/张博恒/惠龙/王凯/苏俣/白雪岑/赵述仁/刘梓乾/王思琦/刘美奂
37,悟空传,剧情/动作/奇幻,郭子健,彭于晏/倪妮/余文乐/俞飞鸿/欧豪/郑爽/乔杉/杨迪/巴音/王德顺/李尚恩/张承阳
38,幕后玩家,剧情/悬疑/犯罪,任鹏远,徐峥/王丽坤/王砚辉/段博文/任达华/于和伟/朱珠/赵达/谢楠/鲍晓
