,电影,类型,导演,主演
795,霸王别姬,剧情/爱情/同性,陈凯歌,张国荣/张丰毅/巩俐/葛优/英达/蒋雯丽/吴大维/吕齐/雷汉/尹治/马明威/费振翔/智一桐/李春/赵海龙/李丹/童弟/沈慧芬/黄斐
796,阿甘正传,剧情/爱情,罗伯特·泽米吉斯,汤姆·汉克斯/罗宾·怀特/加里·西尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德/海利·乔·奥斯蒙/迈克尔·康纳·亨弗里斯/HaroldG.Herthum/山姆·安德森/IoneM.Telech/彼得·道博森/希芳·法隆/ElizabethHanks/汉娜·豪尔/ChristopherJones/RobLandry/JasonMcGuire/桑尼·施罗耶/EdDavis/丹尼尔C.斯瑞派克/大卫·布里斯宾/DeborahMcTeer/AlHarrington/阿非莫·奥米拉/JohnVoldstad/MichaelBurgess/EricUnderwood/ByronMinns/斯蒂芬·布吉格沃特/JohnWilliamGalt/HilaryChaplain/IsabelRose/RichardD'Alessandro/DickStilwell/迈克尔-杰斯/杰弗里·布莱克/瓦妮莎·罗斯/迪克·卡维特/马拉·苏查雷特扎/JoeAlaskey/W.BensonTerry
797,疯狂动物城,喜剧/动画/冒险,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·玛吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温
798,摔跤吧！爸爸,剧情/家庭/传记/运动,涅提·蒂瓦里,阿米尔·汗/法缇玛·萨那·纱卡/桑亚·玛荷塔/阿帕尔夏克提·库拉那/沙克希·坦沃/塞伊拉·沃西/苏哈妮·巴特纳格尔/里特维克·萨霍里/吉里什·库卡尼
799,小偷家族,剧情/家庭/犯罪,是枝裕和,中川雅也/安藤樱/松冈茉优/城桧吏/佐佐木美结/树木希林/绪形直人/池松壮亮/森口瑶子/山田裕贵/片山萌美/柄本明/高良健吾/池胁千鹤
800,这个杀手不太冷,剧情/动作/犯罪,吕克·贝松,让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/彼得·阿佩尔/迈克尔·巴达鲁科/艾伦·格里尼/伊丽莎白·瑞根/卡尔·马图斯维奇/弗兰克·赛格/麦温/乔治·马丁/罗伯特·拉萨多/亚当·布斯奇/马里奥·托迪斯科/萨米·纳塞利
801,肖申克的救赎,剧情/犯罪,弗兰克·德拉邦特,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗/吉尔·贝罗斯/马克·罗斯顿/詹姆斯·惠特摩/杰弗里·德曼/拉里·布兰登伯格/尼尔·吉恩托利/布赖恩·利比/大卫·普罗瓦尔/约瑟夫·劳格诺/祖德·塞克利拉/保罗·麦克兰尼/芮妮·布莱恩/阿方索·弗里曼/V·J·福斯特/弗兰克·梅德拉诺/马克·迈尔斯/尼尔·萨默斯/耐德·巴拉米/布赖恩·戴拉特/唐·麦克马纳斯
802,复仇者联盟3：无限战争,动作/科幻/奇幻/冒险,安东尼·罗素/乔·罗素,小罗伯特·唐尼/克里斯·海姆斯沃斯/克里斯·埃文斯/马克·鲁弗洛/乔什·布洛林/佐伊·索尔达娜/本尼迪克特·康伯巴奇/克里斯·帕拉特/汤姆·赫兰德/伊丽莎白·奥尔森/保罗·贝坦尼/斯嘉丽·约翰逊/查德维克·博斯曼/塞巴斯蒂安·斯坦/唐·钱德尔/汤姆·希德勒斯顿/安东尼·麦凯/本尼迪克特·王/戴夫·巴蒂斯塔/布莱德利·库珀/范·迪塞尔/凯伦·吉兰/利蒂希娅·赖特/庞·克莱门捷夫/凯莉·库恩/汤姆-沃恩-劳勒/海登·瓦尔希/迈克尔·詹姆斯·肖/泰瑞·诺塔里/本尼西奥·德尔·托罗/彼特·丁拉基/罗斯·马昆德/丹娜·奎里拉/温斯顿·杜克/弗洛伦丝·卡松巴/塞缪尔·杰克逊/雅各布·巴特朗/斯坦·李
803,绿皮书,剧情/喜剧/传记,彼得·法雷里,维果·莫腾森/马赫沙拉·阿里/琳达·卡德里尼/塞巴斯蒂安·马尼斯科/迪米特·D·马里诺夫/迈克·哈顿/P·J·伯恩/乔·柯蒂斯/玛姬·尼克松/冯·刘易斯/乔恩·索特兰/唐·斯达克/安东尼·曼加诺/保罗·斯隆/珍娜·劳伦索/肯尼斯·以色列/伊克博·塞巴/尼克·瓦莱隆加/大卫·安/迈克·切罗内/杰拉尔丁·辛格/马丁·巴特斯·布拉德福德/格拉伦·布莱恩特·班克斯/汤姆·维图/夏恩·帕特洛/丹尼斯·W·霍尔/吉姆·克洛克/戴恩·罗兹/布赖恩·斯特帕尼克/乔恩·迈克尔·戴维斯/布莱恩·海耶斯·库瑞/托尼亚·马尔多纳多
804,你的名字。,剧情/爱情/动画,新海诚,神木隆之介/上白石萌音/长泽雅美/市原悦子/成田凌/悠木碧/岛崎信长/石川界人/谷花音/寺杣昌纪/大原沙耶香/井上和彦/茶风林/加藤有花/花泽香菜/寺崎裕香
805,千与千寻,剧情/动画/奇幻,宫崎骏,柊瑠美/入野自由/夏木真理/菅原文太/中村彰男/玉井夕海/神木隆之介/内藤刚志/泽口靖子/我修院达也/大泉洋/小林郁夫/上条恒彦/小野武彦
806,盗梦空间,剧情/科幻/悬疑/冒险,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥/约瑟夫·高登-莱维特/艾伦·佩吉/汤姆·哈迪/渡边谦/迪利普·劳/基里安·墨菲/汤姆·贝伦杰/玛丽昂·歌迪亚/皮特·波斯尔思韦特/迈克尔·凯恩/卢卡斯·哈斯/李太力/克莱尔·吉尔蕾/马格努斯·诺兰/泰勒·吉蕾/乔纳森·吉尔/水源士郎/冈本玉二/厄尔·卡梅伦/瑞恩·海沃德/米兰达·诺兰/拉什·费加/蒂姆·科勒赫/妲露拉·莱莉
807,头号玩家,动作/科幻/冒险,史蒂文·斯皮尔伯格,泰伊·谢里丹/奥利维亚·库克/本·门德尔森/马克·里朗斯/丽娜·维特/森崎温/赵家正/西蒙·佩吉/T·J·米勒/汉娜·乔恩-卡门/拉尔夫·尹爱森/苏珊·林奇/克莱尔·希金斯/劳伦斯·斯佩尔曼/佩蒂塔·维克斯/艾萨克·安德鲁斯
808,寻梦环游记,喜剧/动画/音乐/奇幻,李·昂克里奇/阿德里安·莫利纳,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰纳·乌巴奇/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格
809,阿凡达,动作/科幻/战争/冒险,詹姆斯·卡梅隆,萨姆·沃辛顿/佐伊·索尔达娜/西格妮·韦弗/史蒂芬·朗/米歇尔·罗德里格兹/吉奥瓦尼·瑞比西/乔·大卫·摩尔/希·庞德/韦斯·斯塔迪/拉兹·阿隆索/迪利普·劳/马特·杰拉德/肖恩·安东尼·莫兰
810,海上钢琴师,剧情/音乐,朱塞佩·托纳多雷,蒂姆·罗斯/普路特·泰勒·文斯/比尔·努恩/克兰伦斯·威廉姆斯三世/梅兰尼·蒂埃里/加布里埃莱·拉维亚/皮特·沃恩/NiallO'Brien/阿尔贝托·巴斯克斯/LuigiDeLuca/费米·依鲁福祖/EastonGage/CoryBuck/SidneyCole/布莱恩·普林格/希思科特·威廉姆斯/尼古拉·迪·平托/凯文·麦克纳利/沙拉·鲁宾/阿妮妲·扎格利亚/AngeloDiLoreta
811,无间道,剧情/悬疑/犯罪,刘伟强/麦兆辉,刘德华/梁朝伟/黄秋生/曾志伟/郑秀文/陈慧琳/陈冠希/余文乐/杜汶泽/林家栋/萧亚轩
812,钢铁侠,动作/科幻/惊悚/冒险,乔恩·费儒,小罗伯特·唐尼/泰伦斯·霍华德/格温妮斯·帕特洛/杰夫·布里吉斯/莱丝莉·比伯/肖恩·托布/保罗·贝坦尼/乔恩·费儒/克拉克·格雷格
813,大话西游之月光宝盒,喜剧/爱情/奇幻/古装,刘镇伟,周星驰/吴孟达/罗家英/蓝洁瑛/莫文蔚/江约诚/陆树铭/刘镇伟/朱茵/李健仁
814,龙猫,动画/奇幻/冒险,宫崎骏,日高法子/坂本千夏/糸井重里/岛本须美/北林谷荣/高木均/雨笠利幸/丸山裕子/广濑正志/鹫尾真知子/铃木玲子/千叶繁/龙田直树/鳕子/西村朋纮/石田光子/神代知衣/中村大树/水谷优子/平松晶子/大谷育江
815,当幸福来敲门,剧情/家庭/传记,加布里埃莱·穆奇诺,威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威/詹姆斯·凯伦/丹·卡斯泰兰尼塔/柯特·富勒/塔卡尤·费舍尔/凯文·韦斯特/乔治·张/戴维·迈克尔·西尔弗曼/多米尼克·博夫/杰弗·卡伦/乔伊芙·拉文/斯科特·克拉斯
816,放牛班的春天,剧情/音乐,克里斯托夫·巴拉蒂,热拉尔·朱尼奥/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷/玛丽·布奈尔/让-巴蒂斯特·莫尼耶/马科森斯·珀林/格雷戈里·加迪诺尔/托马斯·布伦门塔尔/西里尔·伯尔尼科特/西蒙·法戈特/泰奥杜尔·卡雷-卡赛尼/菲利普·杜·詹纳兰德/埃里克·德斯玛莱茨/狄迪尔·弗拉蒙/雅克·贝汉
817,复仇者联盟,动作/科幻/奇幻/冒险,乔斯·韦登,小罗伯特·唐尼/克里斯·埃文斯/斯嘉丽·约翰逊/克里斯·海姆斯沃斯/杰瑞米·雷纳/马克·鲁弗洛/塞缪尔·杰克逊/汤姆·希德勒斯顿/斯特兰·斯卡斯加德/寇碧·史莫德斯/克拉克·格雷格/保罗·贝坦尼/格温妮斯·帕特洛
818,波西米亚狂想曲,剧情/音乐/传记,布莱恩·辛格,拉米·马雷克/本·哈迪/约瑟夫·梅泽罗/格威利姆·李/艾伦·里奇/露西·宝通/艾丹·吉伦/汤姆·霍兰德/麦克·梅尔斯/阿隆·麦克卡斯克/梅内卡·达斯/迪基·博/蒂姆·普莱斯特/杰克·罗思/马克斯·班内特/基兰·哈德卡斯托/罗斯·格林/布鲁斯·麦克金伦/米歇尔·邓肯/马特·格林伍德/罗茜·本杰明/约翰·奥特曼/詹姆斯·华莱士/文森特·阿德里安/拉斯科·阿特金斯/乔纳森·奇塔姆/迈克尔·科布/耶稣·加洛/亚当·兰伯特/豪尔赫·莱昂·马丁内斯/杰森·莱恩斯/伊斯雷尔·鲁兹
819,让子弹飞,剧情/喜剧/动作/西部,姜文,姜文/葛优/周润发/刘嘉玲/陈坤/张默/姜武/周韵/廖凡/姚橹/邵兵/苗圃/冯小刚/胡军/马珂/白冰/杜奕衡/李静/胡明/危笑/杨奇雨/赵铭
820,大话西游之大圣娶亲,喜剧/爱情/奇幻/古装,刘镇伟,周星驰/吴孟达/朱茵/蔡少芬/蓝洁瑛/莫文蔚/罗家英/刘镇伟/陆树铭/李健仁
821,碟中谍6：全面瓦解,动作/惊悚/冒险,克里斯托弗·麦奎里,汤姆·克鲁斯/亨利·卡维尔/文·瑞姆斯/西蒙·佩吉/丽贝卡·弗格森/西恩·哈里斯/安吉拉·贝塞特/凡妮莎·柯比/米歇尔·莫纳汉/韦斯·本特利/费雷德里克·施密特/亚历克·鲍德温/杨亮/克里斯托弗·约纳尔/沃尔夫·布利策/拉斐尔·琼勒/安德鲁·卡扎纳夫·平/克里斯多夫·德·舒瓦西/拉裴尔·德普雷/让·巴普蒂斯特·菲永/马克斯·盖勒/奥利维尔·体班德/亚历山大·普尔/阿利克斯·贝纳泽什/乔伊·安沙/维利贝·托皮奇/格雷厄姆·福克斯/卡斯珀·菲利普森/菲恩·乔利/鲁斯·贝恩/奈杰尔·艾伦
822,看不见的客人,剧情/悬疑/惊悚/犯罪,奥里奥尔·保罗,马里奥·卡萨斯/阿娜·瓦格纳/何塞·科罗纳多/巴巴拉·莱涅/弗兰塞斯克·奥雷利亚/帕科·图斯/大卫·塞尔瓦斯/伊尼戈·加斯特西/圣·耶拉莫斯/马内尔·杜维索/布兰卡·马丁内斯/佩雷·布拉索/霍尔迪·布鲁内特/鲍比·冈萨雷斯/玛蒂娜·乌尔塔多
823,功夫,喜剧/动作/犯罪/奇幻,周星驰,周星驰/元秋/元华/黄圣依/梁小龙/陈国坤/田启文/林子聪/林雪/冯克安/释彦能/冯小刚/袁祥仁/张一白/赵志凌/董志华/何文辉/陈凯师/贾康熙/林子善/任珈锐/王仕颖
824,初恋这件小事,剧情/喜剧/爱情,普特鹏·普罗萨卡·那·萨克那卡林/华森·波克彭,平采娜·乐维瑟派布恩/马里奥·毛瑞尔/苏达拉·布查蓬/雅尼卡·桑普蕾舞/诺特·阿查拉那·阿瑞亚卫考/皮拉瓦特·赫拉巴特/普特鹏·普罗萨卡·那·萨克那卡林/华森·波克彭
825,喜剧之王,剧情/喜剧/爱情,周星驰/李力持,周星驰/张柏芝/莫文蔚/吴孟达/林子善/田启文/李兆基/成龙/李思捷/郑文辉
826,熔炉,剧情,黄东赫,孔侑/郑有美/金志映/金贤秀/郑仁絮/白承焕/张光/严孝燮
827,辛德勒的名单,剧情/历史/战争,史蒂文·斯皮尔伯格,连姆·尼森/本·金斯利/拉尔夫·费因斯/卡罗琳·古多尔/乔纳森·萨加尔/艾伯丝·戴维兹/马尔戈萨·格贝尔/马克·伊瓦涅/碧翠斯·马科拉/安德烈·瑟韦林/弗里德里希·冯·图恩/克齐斯茨托夫·拉夫特/诺伯特·魏塞尔
828,银河护卫队2,动作/科幻/冒险,詹姆斯·古恩,克里斯·帕拉特/佐伊·索尔达娜/戴夫·巴蒂斯塔/范·迪塞尔/布莱德利·库珀/凯伦·吉兰/迈克尔·鲁克/庞·克莱门捷夫/伊丽莎白·德比茨基/肖恩·古恩/库尔特·拉塞尔/克里斯·沙利文/大卫·哈塞尔霍夫/西尔维斯特·史泰龙/杨紫琼
829,那些年，我们一起追的女孩,剧情/喜剧/爱情,九把刀,柯震东/陈妍希/敖犬/郝劭文/蔡昌宪/侯彦西/弯弯/邱彦翔/王彩桦/柯义浤/黄逸祥/李凤新/黄柏钧/赖雅妍/高丽红/李维维/严艺文/蔡武雄
830,驴得水,剧情/喜剧,周申/刘露,任素汐/大力/刘帅良/裴魁山/阿如那/韩彦博/卜冠今/王堃/高阳/苏千越/亚瑟·麦克拉蒂/王峰
831,狗十三,剧情/家庭,曹保平,张雪迎/果靖霖/智一桐/代旭/黄诗佳/曹馨月/聂鑫/周珍
832,天才枪手,剧情/悬疑/犯罪,纳塔吾·彭皮里亚,茱蒂蒙·琼查容苏因/查侬·散顶腾古/依莎亚·贺苏汪/披纳若·苏潘平佑/塔内·瓦拉库努娄/莎琳雷特·托马斯/伊戈·米基塔斯/帕辛·宽萨塔彭/萨哈贾克·波斯安吉特/坎嘉娜·维耐潘尼/育塔彭·瓦拉努科洛楚/诺帕瓦特·里基特王
833,银河护卫队,动作/科幻/冒险,詹姆斯·古恩,克里斯·帕拉特/佐伊·索尔达娜/布莱德利·库珀/范·迪塞尔/戴夫·巴蒂斯塔/李·佩斯/迈克尔·鲁克/凯伦·吉兰/杰曼·翰苏/本尼西奥·德尔·托罗/约翰·C·赖利/格伦·克洛斯/劳拉·哈德克/肖恩·古恩/彼得·塞拉菲诺威茨/埃米特·斯坎伦/奥菲利亚·拉维邦德
834,唐伯虎点秋香,喜剧/爱情/古装,李力持,周星驰/巩俐/陈百祥/郑佩佩/朱咪咪/梁家仁/苑琼丹/梁荣忠/黄一山/黄霑/吴镇宇/刘家辉/蓝洁瑛/谷德昭/陈辉虹/李健仁/宣萱/温翠苹
835,釜山行,动作/惊悚/灾难,延尚昊,孔侑/郑有美/马东锡/金秀安/金义城/崔宇植/安昭熙/沈恩京/禹都临
836,三块广告牌,剧情/犯罪,马丁·麦克唐纳,弗兰西斯·麦克多蒙德/伍迪·哈里森/山姆·洛克威尔/艾比·考尼什/卢卡斯·赫奇斯/彼特·丁拉基/约翰·浩克斯/卡赖伯·兰德里·琼斯/凯瑟琳·纽顿/凯瑞·康顿/泽利科·伊万内克/萨玛拉·维文/克拉克·彼得斯/尼克·西塞/阿曼达·沃伦/玛拉雅·瑞沃拉·德鲁/布兰登·萨克斯顿/迈克尔·艾伦·米利甘
837,蝴蝶效应,剧情/科幻/悬疑/惊悚,埃里克·布雷斯/J·麦基·格鲁伯,阿什顿·库彻/梅洛拉·沃尔特斯/艾米·斯马特/埃尔登·汉森/威廉姆·李·斯科特/约翰·帕特里克·阿梅多利/艾琳·戈洛瓦娅/凯文·G·施密特/杰西·詹姆斯/罗根·勒曼/莎拉·威多斯/杰克·凯斯/卡梅隆·布莱特/埃里克·斯托尔兹/考乐姆·吉斯·雷尼
838,教父,剧情/犯罪,弗朗西斯·福特·科波拉,马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·卡斯特尔诺/罗伯特·杜瓦尔/斯特林·海登/约翰·马利/理查德·康特/艾尔·勒提埃里/黛安·基顿/阿贝·维高达/塔莉娅·夏尔/吉亚尼·罗素/约翰·凯泽尔/鲁迪·邦德
839,倩女幽魂,爱情/奇幻/武侠/古装,程小东,张国荣/王祖贤/午马/刘兆铭/林威/薛芷伦/胡大为/王晶
840,哈利·波特与魔法石,奇幻/冒险,克里斯·哥伦布,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/伊恩·哈特/理查德·哈里斯/约翰·赫特/罗彼·考特拉尼/朱丽·沃特斯/邦妮·怀特/约翰·克立斯/肖恩·比格斯代夫
841,末代皇帝,剧情/传记/历史,贝纳尔多·贝托鲁奇,尊龙/陈冲/邬君梅/彼得·奥图尔/英若诚/吴涛/黄自强/丹尼斯·邓恩/坂本龙一/马吉·汉/里克·扬/田川洋行/苟杰德/理查德·吴/皱缇格/陈凯歌/卢燕/区亨利/陈述/樊光耀/鲍皓昕/黄文捷/邵茹贞/亨利·基/张良斌/梁冬/康斯坦丁·格雷戈里/黄汉琪/王涛/宋怀桂/蔡鸿翔/程淑艳/张天民
842,天使爱美丽,喜剧/爱情,让-皮埃尔·热内,奥黛丽·塔图/马修·卡索维茨/吕菲斯/洛莱拉·克拉沃塔/塞尔日·梅兰/贾梅尔·杜布兹/克洛蒂尔德·莫勒/克莱尔·莫里耶/伊莎贝尔·南蒂/多米尼克·皮侬/阿尔蒂斯·德·彭居埃恩/友兰达·梦露/于尔班·康塞利埃/莫里斯·贝尼舒/米歇尔·罗班/安德烈·达芒/克洛德·佩隆/阿尔梅尔/迪基·奥尔加多/KevinFernandes/弗洛拉·吉耶/阿莫里·巴博尔/欧仁·贝蒂埃/让·达里/马克·阿米约
843,剪刀手爱德华,剧情/爱情/奇幻,蒂姆·波顿,约翰尼·德普/薇诺娜·瑞德/黛安·韦斯特/安东尼·迈克尔·豪尔/凯西·贝克/罗伯特·奥利维里/康查塔·费雷尔/卡罗琳·阿隆/迪克·安东尼·威廉姆斯/澳澜·琼斯/文森特·普莱斯/艾伦·阿金/苏珊·布洛马特/约翰·戴维森/BryanLarkin/VictoriaPrice/StuartLancaster/GinaGallagher/阿隆·鲁斯汀/阿兰·弗吉/史蒂文·布里尔/PeterPalmer/马克·麦考利/DonnaPieroni/KenDeVaul/KathyDombo/TabethaThomas/尼克·卡特
844,爱乐之城,剧情/爱情/歌舞,达米恩·查泽雷,瑞恩·高斯林/艾玛·斯通/约翰·传奇/罗丝玛丽·德薇特/芬·维特洛克/杰西卡·罗德/水野索诺娅/考莉·埃尔南德斯/J·K·西蒙斯/汤姆·艾弗瑞特·斯科特/米根·费伊/达蒙·冈普顿/贾森·福克斯/乔什·平茨/艾米·科恩/特里·沃尔特斯/汤姆·谢尔顿/辛达·亚当斯/克劳丁·克劳迪奥/D·A·瓦拉赫/特雷弗·里斯奥尔/奥莉维亚·汉密尔顿/安娜·查泽雷/马里乌斯·代·弗里斯/妮科尔·库隆/迈尔斯·安德森/约翰·辛德曼/瓦拉里·雷·米勒/基夫·范登·霍伊维尔/佐伊·霍尔/登普西·帕皮恩/辛德拉·车
845,西西里的美丽传说,剧情/情色/战争,朱塞佩·托纳多雷,莫妮卡·贝鲁奇/朱塞佩·苏尔法罗/LucianoFederico/玛蒂尔德·皮亚纳/PietroNotarianni/GaetanoAronica/GilbertoIdonea/AngeloPellegrino/GabriellaDiLuzio/PippoProvvidenti/埃丽萨·莫鲁奇/奥罗拉·夸特罗基/露琪亚·萨多/VanniBramati/SalvatoreMartino/安东内洛·普利西/NoamMorgensztern
846,哈尔的移动城堡,动画/奇幻/冒险,宫崎骏,倍赏千惠子/木村拓哉/美轮明宏/我修院达也/神木隆之介/伊崎充则/大泉洋/大塚明夫/原田大二郎/加藤治子/都筑香弥子
847,美丽人生,剧情/喜剧/爱情/战争,罗伯托·贝尼尼,罗伯托·贝尼尼/尼可莱塔·布拉斯基/乔治·坎塔里尼/朱斯蒂诺·杜拉诺/赛尔乔·比尼·布斯特里克/玛丽萨·帕雷德斯/霍斯特·布赫霍尔茨/利迪娅·阿方西/朱利亚娜·洛约迪切/亚美利哥·丰塔尼/彼得·德·席尔瓦/弗朗西斯·古佐/拉法埃拉·莱博罗尼/克劳迪奥·阿方西/吉尔·巴罗尼/马西莫·比安奇/恩尼奥·孔萨尔维/吉安卡尔洛·科森蒂诺/阿伦·克雷格/汉尼斯·赫尔曼/弗兰科·梅斯科利尼/安东尼奥·普雷斯特/吉娜·诺维勒/理查德·塞梅尔/安德烈提多娜/迪尔克·范登贝格/奥梅罗·安东努蒂
848,无敌破坏王2：大闹互联网,喜剧/动画/奇幻/冒险,菲尔·约翰斯顿/瑞奇·摩尔,约翰·C·赖利/萨拉·西尔弗曼/盖尔·加朵/塔拉吉·P·汉森/杰克·麦克布瑞尔/简·林奇/艾伦·图代克/阿尔弗雷德·莫里纳/艾德·奥尼尔/肖恩·吉布朗尼/弗卢拉·博格/蒂莫西·西蒙斯/黄阿丽/韩秘书·布雷克/葛洛泽尔·格林/瑞贝卡·薇索基/山姆·理查森/雅布其·杨-怀特/莫里斯·拉马奇/梅丽莎·维拉斯诺/凯蒂·洛斯/贾米·埃曼/霍拉提奥·桑斯/亚历克斯·莫法特/琼·斯奎布/德拉·萨巴/菲尔·约翰斯顿/约翰·迪·玛吉欧/瑞奇·摩尔/科琳·巴林杰/达尼·费尔南德斯/蒂芙妮·赫雷拉/阿娜·奥缇兹/迪安娜·阿格隆/杰森·曼兹沃克斯/雷蒙德·S·佩尔西/伏霞/罗杰·克莱格·史密斯/蒂姆·艾伦/布拉德·加内特/安东尼·丹尼尔斯/科里·伯顿/范·迪塞尔/维韦卡·波林/迈克·吉亚奇诺/凯文·迪特斯/尼可·斯彻金格/丹·雷诺斯/艾琳·贝达/克里斯汀·贝尔/裘蒂·班森/奥丽伊·卡瓦洛/詹妮弗·黑尔/凯特·希金斯/琳达·拉金/凯莉·麦克唐纳/伊迪娜·门泽尔/曼迪·摩尔/佩吉·奥哈拉/帕米拉·里本/阿尼卡·诺尼·罗斯/温明娜/珍妮卡·贝尔格雷/比尔·哈德尔
849,罗马假日,剧情/喜剧/爱情,威廉·惠勒,奥黛丽·赫本/格利高里·派克/埃迪·艾伯特/哈特利·鲍尔/哈考特·威廉姆斯/MargaretRawlings/托里奥·卡米纳提/PaoloCarlini/ClaudioErmelli/保拉·布鲁布尼/里佐·弗雷多里佐/LauraSolari/GorellaGori/ArmandoAnnuale/MaurizioArena/SilvioBagolini/GildoBocci/FrancoCorsaro/JohnCortay/VittoriaCrispo/SidneyGordon/LuigiMoneta/PieroPastore/MimmoPoli/CarloRizzo/GiannaSegale/AmedeoTrilli/HelenTubbs/MarcoTulli/JoopvanHulzen/CatherineWyler/JudyWyler
850,超能陆战队,喜剧/动作/科幻/动画/冒险,唐·霍尔/克里斯·威廉姆斯,斯科特·安第斯/瑞恩·波特/丹尼尔·海尼/T·J·米勒/杰米·钟/小达蒙·韦恩斯/珍尼希斯·罗德里格兹/詹姆斯·克伦威尔/艾伦·图代克/玛娅·鲁道夫/亚布拉哈姆·本鲁比/凯蒂·洛斯/比利·布什/丹尼尔·吉尔森/保罗·布里格斯
851,敦刻尔克,剧情/历史/战争,克里斯托弗·诺兰,菲恩·怀特海德/汤姆·格林-卡尼/杰克·劳登/哈里·斯泰尔斯/阿奈林·巴纳德/汤姆·哈迪/马克·里朗斯/巴里·基奥根/基里安·墨菲/詹姆斯·达西/肯尼思·布拉纳/李·阿姆斯特朗/詹姆斯·布鲁尔/达米安·勃纳尔/布莱恩·威纳尔/哈利·理查森/艾略特·提特恩索/凯文·格思里/巴比·洛克伍德/米歇尔·贝尔/比利·豪尔/迈克尔·凯恩/约翰·诺兰/米兰达·诺兰
852,西游记之大圣归来,喜剧/动作/动画/奇幻,田晓鹏,张磊/林子杰/吴文伦/童自荣/刘九容/吴迪/刘北辰/赵乾景/周帅
853,黑客帝国,动作/科幻,莉莉·沃卓斯基/拉娜·沃卓斯基,基努·里维斯/凯瑞-安·莫斯/劳伦斯·菲什伯恩/雨果·维文/格洛丽亚·福斯特/乔·潘托里亚诺/马库斯·钟/朱利安·阿拉汗加/马特·多兰
854,加勒比海盗,动作/奇幻/冒险,戈尔·维宾斯基,约翰尼·德普/杰弗里·拉什/奥兰多·布鲁姆/凯拉·奈特莉/杰克·达文波特/乔纳森·普雷斯
855,七宗罪,剧情/悬疑/惊悚/犯罪,大卫·芬奇,摩根·弗里曼/布拉德·皮特/凯文·史派西/格温妮斯·帕特洛/安德鲁·凯文·沃克/约翰·卡西尼/雷格·E·凯蒂/李·厄米
856,疯狂的石头,喜剧/犯罪,宁浩,郭涛/刘桦/连晋/黄渤/徐峥/优恵/罗兰/王迅
857,素媛,剧情,李濬益,薛耿求/严志媛/李来/金海淑/金相浩/罗美兰/杨真诚
858,活着,剧情/家庭/历史,张艺谋,葛优/巩俐/姜武/牛犇/郭涛/张璐/倪大红/肖聪/董飞/刘天池/董立范/黄宗洛/刘燕瑾/李连义/杨同顺
859,猫鼠游戏,剧情/传记/犯罪,史蒂文·斯皮尔伯格,莱昂纳多·迪卡普里奥/汤姆·汉克斯/克里斯托弗·沃肯/马丁·辛/艾米·亚当斯/詹妮弗·加纳/伊丽莎白·班克斯/纳塔莉·贝伊/詹姆斯·布洛林/艾伦·旁派/南希·利内翰/布莱恩·豪威/弗兰克·约翰·休斯/克里斯·埃里斯
860,闻香识女人,剧情,马丁·布莱斯特,阿尔·帕西诺/克里斯·奥唐纳/詹姆斯·瑞布霍恩/加布里埃尔·安瓦尔/菲利普·塞默·霍夫曼/理查德·文彻/布莱德利·惠特福德/罗谢尔·奥利弗/MargaretEginton/TomRiisFarrell/NicholasSadler/托德·路易斯/马特·史密斯/吉恩·坎菲尔德/弗兰西丝·康罗伊
