电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
第九区,尼尔·布洛姆坎普,尼尔·布洛姆坎普/特丽·塔歇尔,沙尔托·科普雷/詹森·库伯/娜塔莉·博尔特/茜尔雯·斯特赖克/约翰·萨莫尔/威廉·艾伦·扬/尼克·布雷克/杰德·布罗菲/路易斯·米纳尔/瓦妮莎·海伍德/玛丽安·胡曼/维多利奥·莱奥纳迪/曼德拉·加杜卡/约翰·范·肖尔/斯特拉·斯廷坎普/戴维·詹姆斯/肯尼思·恩科西/蒂姆·戈登/莫尔内·埃拉斯姆斯/尤金·孔巴尼瓦/赫棱基维·马德拉拉/西雅邦加·拉德贝/梅尔特·西贝尔哈亨/安德勒·奥登达尔/尼克·伯莱尼/罗伯特·霍布斯,剧情/动作/科幻/惊悚,美国/新西兰/加拿大/南非,英语/尼扬贾语/南非荷兰语/祖鲁语/科萨语/塞索托语,2009-11-27(中国大陆)/2009-08-14(美国),112分钟,第九禁区/D-9异形禁区/第9区,tt1136608
宝贝老板,汤姆·麦格拉思,迈克尔·麦库勒斯/玛拉·弗雷齐,亚历克·鲍德温/迈尔斯·克里斯托弗·巴克什/吉米·坎摩尔/丽莎·库卓/史蒂夫·布西密/托比·马奎尔/詹姆斯·麦格拉思/康拉德·弗农/薇薇安·叶/小埃里克·贝尔/大卫·索伦/伊迪·米尔曼/詹姆斯·雷恩/沃尔特·道恩/朱尔斯·温特,喜剧/动画,美国,英语,2017-03-12(迈阿密电影节)/2017-03-31(美国),97分钟,娃娃老板/波士BB(港),tt3874544
幸运是我,罗耀辉,罗耀辉,惠英红/陈家乐/刘雅瑟/张继聪/吴日言/吴业坤/林兆霞/周俊伟/车婉婉/郭颖儿/邵音音/钱小豪/麦家琪/余伟国/钟慧冰/钟舒祺/彭立威/徐颖怡/陈慧珠/亭雨/彭旭/梁有生/波多野裕介/曾紫云/梁展峰/陈俊峰/黄若菲,剧情/家庭,香港/中国大陆,粤语/汉语普通话,2016-08-26(中国大陆)/2016-09-08(香港),113分钟,Happiness,tt5805026
内在美,白宗烈,Seon-jeongKim/朴正艺/卢熙京,韩孝周/金大明/都枝寒/朴信惠/李凡秀/朴叙俊/金相浩/千禹熙/赵达焕/李阵郁/徐康俊/李栋旭/高雅星/金柱赫/柳演锡/上野树里/文淑/申东美/李在浚/李玹雨/金熙元,剧情/爱情/奇幻,韩国,韩语/日语/捷克语/英语/汉语普通话,2015-08-20(韩国),127分钟,爱上变身情人(台)/我的变身男友(港)/TheBeautyInside,tt4273886
圆梦巨人,史蒂文·斯皮尔伯格,梅丽莎·马西森/罗尔德·达尔,鲁比·巴恩希尔/马克·里朗斯/比尔·哈德尔/丽贝卡·豪尔/拉菲·斯波/佩内洛普·威尔顿/杰梅奈·克莱门特/亚当·戈德利/迈克尔·亚当思韦特/丹尼尔·巴孔,奇幻/冒险,美国/英国,英语,2016-10-14(中国大陆)/2016-05-14(戛纳电影节)/2016-07-01(美国),117分钟,吹梦巨人(港)/好心眼儿巨人,tt3691740
月升王国,韦斯·安德森,韦斯·安德森/罗曼·科波拉,杰瑞德·吉尔曼/卡拉·海沃德/布鲁斯·威利斯/爱德华·诺顿/弗兰西斯·麦克多蒙德/蒂尔达·斯文顿/比尔·默瑞/詹森·舒瓦兹曼/哈威·凯特尔,剧情/儿童,美国,英语,2012-05-16(戛纳电影节)/2012-06-29(美国),94分钟,小学鸡私奔记(港)/月升冒险王国(台)/月亮王国/月亮升起的王国,tt1748122
小男孩,亚历杭德罗·戈麦斯·蒙特维尔德,亚历杭德罗·戈麦斯·蒙特维尔德/佩佩·波蒂略,雅各布·萨尔瓦提/凯文·詹姆斯/迈克尔·拉帕波特/大卫·亨瑞/艾米丽·沃森/埃杜瓦多·维拉斯蒂吉/泰德·拉文/田川洋行/汤姆·威尔金森/本·卓别林/阿丽·兰德里/亚布拉哈姆·本鲁比/托比·胡斯/凯莉·格蕾森/坎迪丝·阿扎拉,剧情/喜剧/战争,墨西哥/美国,英语,2015-04-24(美国),106分钟,,tt1810683
狗狗与我的十个约定,本木克英,泽本嘉光/川口晴,田中丽奈/加濑亮/福田麻由子/丰川悦司/高岛礼子,剧情/喜剧/爱情,日本,日语,2009-01-26(中国大陆)/2008-02-08(日本),117分钟,我和狗狗的10个约定/我和寻回犬的十个约定/与狗狗的10个约定/十个约定/10PromisestomyDog,tt1179271
冰川时代5：星际碰撞,麦克·特米尔/加仑·T·楚,迈克尔·J·威尔森/迈克尔·伯格/尤尼·布伦纳/奥布里·所罗门,西蒙·佩吉/洁茜J/杰西·泰勒·弗格森/克里斯·韦奇/詹妮弗·洛佩兹/梅丽莎·劳奇/迈克尔·斯特拉罕/雷·罗马诺/约翰·雷吉扎莫/斯蒂芬妮·比翠丝/尼克·奥弗曼/亚当·德维尼/柯柯·帕尔莫/马克思·格林菲尔德/丹尼斯·利瑞/卡洛斯·庞丝/婉妲·塞克丝/尼尔·德格拉塞·泰森,喜剧/动画/冒险,美国,英语,2016-08-23(中国大陆)/2016-07-22(美国),94分钟/95分钟(中国大陆),冰川时代5/冰原历险记5：笑星撞地球(台)/冰河世纪5/冰川时代5：碰撞航向/冰河世纪：陨石撞地球(港),tt3416828
分手合约,吴基焕,秦海燕/阿美,白百何/彭于晏/吴佩慈/蒋劲夫,爱情,中国大陆/韩国,汉语普通话,2013-04-12(中国大陆),103分钟,AWeddingInvitation/이별계약,tt2910520
王牌保镖,帕特里克·休斯,汤姆·奥康纳,瑞恩·雷诺兹/塞缪尔·杰克逊/加里·奥德曼/萨尔玛·海耶克/艾洛蒂·袁/乔昆姆·德·阿尔梅达/克里斯蒂·米切尔/约瑟芬·德·拉·波美/山姆·哈兹尔丁/巴里·阿茨玛/艾比·侯斯/米哈伊尔·戈尔沃伊,喜剧/动作/犯罪,美国/香港/保加利亚/荷兰,英语/俄语/法语/日语/意大利语/荷兰语/西班牙语,2017-09-22(中国大陆)/2017-08-18(美国),118分钟/112分钟(中国大陆),杀手的保镖/杀手保镖(台)/保镖救杀手(港),tt1959563
盗钥匙的方法,内田贤治,内田贤治,堺雅人/香川照之/广末凉子/荒川良良/森口瑶子,剧情/喜剧,日本,日语,2012-06-17(上海国际电影节)/2012-09-15(日本),128分钟,落KEY人生(台)/钥匙贼的办法/钥匙贼的方法/Dorobônomethod/KeyofLife,tt2078599
