电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接,官方小站
英国病人,安东尼·明格拉,迈克尔·翁达杰/安东尼·明格拉,拉尔夫·费因斯/朱丽叶·比诺什/威廉·达福/克里斯汀·斯科特·托马斯/纳威恩·安德利维斯/科林·费尔斯/朱利安·沃德姆/尤尔根·普洛斯诺/凯文·沃特利/克里夫·梅利森/尼诺·卡斯泰尔诺沃/彼得·吕尔林/乔迪·约翰逊/托蕊·海金森/塞巴斯蒂安·席佩尔/雷蒙德·库特哈德,剧情/爱情/战争,美国/英国,英语/德语/意大利语/阿拉伯语,1996-12-06(美国)/1997-03-14(英国),162分钟,英伦情人(台)/别问我是谁(港),tt0116209,
卡罗尔,托德·海因斯,菲丽丝·奈吉/派翠西亚·海史密斯,凯特·布兰切特/鲁妮·玛拉/凯尔·钱德勒/杰克·莱西/莎拉·保罗森/约翰·马加罗/科里·迈克尔·史密斯/凯文·克劳利/凯瑞·布朗斯汀,剧情/爱情/同性,英国/美国,英语,2015-05-17(戛纳电影节)/2015-11-27(英国)/2016-01-15(美国),118分钟,因为爱你(台)/卡露的情人(港)/卡萝尔/盐的代价/ThePriceofSalt,tt2402927,
甲方乙方,冯小刚,冯小刚/王刚,葛优/刘蓓/何冰/冯小刚/英达/徐帆/杨立新/李琦/傅彪/李滨/叶京/刘震云/王小柱/张秋芳/孟赫/马永玲/孙桂田/李伟健,喜剧,中国大陆,汉语普通话,1997-12-24(中国大陆),90分钟,TheDreamFactory,tt0260987,
胭脂扣,关锦鹏,邱刚健/李碧华,梅艳芳/张国荣/万梓良/朱宝意/温碧霞/谭倩红/谢贤/汪禹/刘家荣/惠英红/朱瑞棠,剧情/爱情/奇幻,香港,粤语/汉语普通话,1987-12-05(台湾),96分钟(香港),Rouge,tt0093258,
僵尸新娘,蒂姆·波顿/迈克·约翰逊,蒂姆·波顿/卡洛斯·格兰奇尔/约翰·奥古斯特/卡罗琳·汤普森/帕米拉·帕特勒,约翰尼·德普/海伦娜·伯翰·卡特/艾米丽·沃森/崔茜·尤玛/保罗·怀特豪斯/乔安娜·林莉/阿尔伯特·芬尼/理查德·E·格兰特/克里斯托弗·李/迈克尔·高夫/简·霍洛克斯/恩·赖特尔/迪普·罗伊/丹尼·艾夫曼/斯蒂芬·巴兰坦/丽莎·凯,剧情/动画/奇幻,美国/英国,英语,2005-09-07(威尼斯电影节)/2005-09-23(美国)/2005-10-21(英国),77分钟,骷髅新娘/提姆波顿之地狱新娘(台)/添布顿怪诞尸新娘(港)/TimBurton'sCorpseBride,tt0121164,
芙蓉镇,谢晋,阿城/谢晋,刘晓庆/姜文/郑在石/张光北/徐松子/祝士彬/刘利年,剧情/爱情,中国大陆,汉语普通话,1987-03-05(中国大陆上海首映),164分钟,HibiscusTown,tt0087301,
欢乐好声音,加斯·詹宁斯/克里斯托夫·卢尔德莱,加斯·詹宁斯,马修·麦康纳/瑞茜·威瑟斯彭/塞思·麦克法兰/斯嘉丽·约翰逊/约翰·C·赖利/塔伦·埃格顿/托瑞·凯利/珍妮弗·桑德斯/詹妮弗·哈德森/加斯·詹宁斯/彼得·塞拉菲诺威茨/尼克·克罗尔/贝克·班尼特/杰·费罗尔/尼克·奥弗曼/莱斯莉·琼斯/雷亚·普尔曼/亚当·布克斯顿/比尔·法玛尔,喜剧/动画/歌舞,美国,英语/日语,2017-02-17(中国大陆)/2016-09-11(多伦多电影节)/2016-12-21(美国),108分钟,歌唱秀/星梦动物园(港)/演唱/歌唱/动物园好声音,tt3470600,
小王子,马克·奥斯本,伊连娜·布里纳尔/鲍勃·佩尔西凯蒂/安东尼·德·圣-埃克苏佩里,杰夫·布里吉斯/麦肯吉·弗依/瑞秋·麦克亚当斯/瑞利·奥斯本/詹姆斯·弗兰科/玛丽昂·歌迪亚/本尼西奥·德尔·托罗/保罗·路德/艾伯特·布鲁克斯/巴德·库特/瑞奇·热维斯/保罗·吉亚玛提/杰奎·巴恩布鲁克/马塞尔·布里奇斯/杰菲·布莱尼恩,动画/奇幻,法国,英语/法语,2015-10-16(中国大陆)/2015-05-22(戛纳电影节)/2015-07-29(法国),108分钟,TheLittlePrince,tt1754656,电影《小王子》官方小站
少年时代,理查德·林克莱特,理查德·林克莱特,埃拉·科尔特兰/帕特丽夏·阿奎特/伊桑·霍克/罗蕾莱·林克莱特/史蒂芬·切斯特·普林斯/利比·维拉利/马可·佩雷拉/杰米·霍华德/安德鲁·维拉利尔/谢恩·格雷厄姆/苔丝·艾伦/戴维·布莱克维尔/塔玛拉·若兰恩/埃薇·汤普森/布拉德·霍金斯/尼克·克劳斯/梅根·迪瓦恩/詹妮·图利/理查德·琼斯/山姆·狄龙/佐伊·格瑞艾姆/理查德·罗比查乌克斯/克里斯·杜贝克/安德里亚·陈/莫娜·李·富尔茨/比尔·怀斯/马克西米利安·麦克纳马拉/泰勒·韦弗/杰西·梅希勒,剧情/家庭,美国,英语/西班牙语,2014-01-19(圣丹斯电影节)/2014-08-15(美国),165分钟,年少时代(台)/我们都是这样长大的(港)/少年12年/十二年/The12-YearMovie/GrowingUp,tt1065073,
隐藏人物,西奥多·梅尔菲,艾莉森·施罗德/西奥多·梅尔菲/玛戈特·李·谢特利,塔拉吉·P·汉森/奥克塔维亚·斯宾瑟/加奈儿·梦奈/凯文·科斯特纳/克斯汀·邓斯特/吉姆·帕森斯/马赫沙拉·阿里/阿尔迪斯·霍吉/格伦·鲍威尔/金贝利·奎恩/奥莱克·克鲁帕,剧情/传记/历史,美国,英语,2016-12-25(美国),127分钟,NASA无名英雌(港)/关键少数(台),tt4846340,
