电影,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,又名,IMDb链接
每一天,迈克尔·苏克西,杰西·安德鲁斯/大卫·利维坦,安格瑞·赖斯/贾斯蒂斯·史密斯/杰妮·罗斯/卢卡斯·杰德·祖曼/凯蒂·道格拉斯/罗里·麦克唐纳/雅各布·巴特朗/伊恩·亚历山大/肖恩·琼斯/科林·福特/杰克·辛/妮科尔·洛/卡莉娜·埃文斯/欧文·泰格/汉娜·艾丽莎·理查德森/玛丽亚·贝罗/迈克尔·克莱姆/黛比·瑞恩/查尔斯·万德瓦尔特/阿曼达·阿库里/基娜·巴斯蒂达斯,爱情/奇幻,美国,英语,2018-02-23(美国),97分钟,每，一天(台),tt7026672
妮娜,欧嘉·查达斯,欧嘉·查达斯/马尔塔·科纳泽斯加,朱莉娅·基乔斯卡/伊莱扎·莱辛姆波/安德烈·卡诺普卡/卡塔兹娜·格尼夫克斯加/玛丽亚·佩斯泽克/塔蒂阿娜·保霍福娃,剧情/爱情/同性,波兰,波兰语/法语,2018-01-28(鹿特丹电影节),130分钟,,tt7461300
那一场呼啸而过的青春,韩天,焦婷婷,卜冠今/刘畅/李梦/黄觉/曲哲明/李正彦琦,剧情/爱情,中国大陆,汉语普通话,2017-10-05(中国大陆),110分钟,呼啸青春/那一场呼啸而过的青春电影版/OnlytheWindKnows,
海滩的一天,杨德昌,杨德昌/吴念真,张艾嘉/胡因梦/徐明/毛学维/左鸣翔/颜凤娇/吴少刚/梅芳/林瑞阳/南俊/小戽斗/于守仁/孙明珠/李淑桢/罗文诚/黄玉华/李梦麟/珍妮弗·奥尼尔/侯孝贤/陈坤厚/柯一正/陶德辰/万仁/曾壮祥/小野/许淑贞/段钟沂/吴念真Nien-JenWu/李烈,剧情/爱情,台湾,汉语普通话/闽南话/日语/德语,1983/2017-07-14(台湾重映),166分钟,"ThatDay,ontheBeach",tt0085635
地球最后的夜晚,毕赣,毕赣,汤唯/黄觉/张艾嘉/李鸿其/陈永忠/罗飞扬/曾美慧孜/段钧豪/谢理循/齐溪/明道/龙泽治,剧情/爱情/悬疑,中国大陆/法国,贵州方言/汉语普通话,2018-12-31(中国大陆)/2018-05-15(戛纳电影节),138分钟/130分钟(戛纳电影节),LongDay'sJourneyIntoNight,tt8185182
六人晚餐,李远,梅峰/张巳阳,窦骁/张钧甯/邬君梅/吴刚/赵立新/俞灏明/尹馨梓/姜尘/崔文璐/陈欢/胡晴云/陈威旭/郝宣凯/李雨诺,剧情/爱情,中国大陆,汉语普通话,2017-06-16(中国大陆),100分钟,YouthDinner,
假若比尔街能说话,巴里·詹金斯,巴里·詹金斯/詹姆斯·鲍德温,琪琪·莱恩/史蒂芬·詹姆士/雷吉娜·金/科尔曼·多明戈/泰娜·帕丽斯/迈克尔·比奇/安洁纽·艾莉丝/埃博妮·奥西迪安/多米尼克·索恩/迭戈·卢纳/芬·维特洛克/艾德·斯克林/艾米莉·里奥斯/佩德罗·帕斯卡/布莱恩·泰里·亨利/玛西娅·让·库尔茨/戴夫·弗兰科/马科·查卡/费斯·洛根/桃乐丝·麦卡锡,剧情/爱情/犯罪,美国,英语/西班牙语,2018-09-09(多伦多电影节)/2018-12-14(美国),119分钟,爱在无声的街角(港)/蓝色比尔街的沉默(台)/假如比尔街能说话/假如比尔街会说话/假若比尔街能够讲话,tt7125860
烽火芳菲,比利·奥古斯特,格雷格·拉特,刘亦菲/埃米尔·赫斯基/李芳淙/严屹宽/余少群/文森特·里奥特/博隆/罗嘉良/巩汉林/金珠/巩天阔/舒耀瑄,剧情/爱情/战争,中国大陆/丹麦,汉语普通话/英语,2017-11-10(中国大陆)/2017-06-17(上海电影节),97分钟,营救飞虎队/中国寡妇/RescuingFlyingTiger/TheChineseWidow,tt5759434
二次初恋,戴玮,桂东鸣/步晓峰/张晓乐/刘秋烨,朱茵/杜天皓/黄征/王志飞/王嘉宁/夏志远/邰智源/陈牧耶,喜剧/爱情/奇幻,中国大陆,汉语普通话,2017-08-31(中国大陆),98分钟,2次初恋/OnceAgain,tt7505208
给19岁的我自己,黄朝亮,黄朝亮/汤琰,林柏宏/石安妮/王芊/何明翰/苑琼丹/兰昊宇/刘金,剧情/爱情,中国大陆/香港,汉语普通话,2018-05-29(中国大陆),98分钟,ToMy19-Year-Old,tt8734578
