:START_ID,:END_ID,relation,:TYPE
20511,10236,导演,导演
21766,10236,导演,导演
21509,10237,导演,导演
21325,10238,导演,导演
20350,10239,导演,导演
20169,10240,导演,导演
20937,10241,导演,导演
20251,10242,导演,导演
21307,10243,导演,导演
21659,10244,导演,导演
20831,10245,导演,导演
21028,10246,导演,导演
21565,10247,导演,导演
20740,10248,导演,导演
20469,10249,导演,导演
20345,10250,导演,导演
21544,10251,导演,导演
21345,10252,导演,导演
20869,10253,导演,导演
21054,10254,导演,导演
21021,10255,导演,导演
21261,10255,导演,导演
20967,10256,导演,导演
21572,10257,导演,导演
20695,10258,导演,导演
20851,10258,导演,导演
20181,10259,导演,导演
20964,10260,导演,导演
21597,10261,导演,导演
20126,10262,导演,导演
21177,10263,导演,导演
20892,10264,导演,导演
21652,10264,导演,导演
20370,10265,导演,导演
20906,10266,导演,导演
20667,10267,导演,导演
20184,10268,导演,导演
21477,10269,导演,导演
20575,10270,导演,导演
21566,10270,导演,导演
20909,10271,导演,导演
20053,10272,导演,导演
20452,10273,导演,导演
21588,10274,导演,导演
20862,10275,导演,导演
21337,10275,导演,导演
20238,10276,导演,导演
20264,10277,导演,导演
21630,10278,导演,导演
20207,10279,导演,导演
21128,10280,导演,导演
20929,10281,导演,导演
21669,10282,导演,导演
21152,10283,导演,导演
20082,10284,导演,导演
20992,10285,导演,导演
21173,10286,导演,导演
20290,10287,导演,导演
21213,10288,导演,导演
21655,10289,导演,导演
20449,10290,导演,导演
20235,10291,导演,导演
20036,10291,导演,导演
21038,10292,导演,导演
20228,10293,导演,导演
20545,10294,导演,导演
20156,10295,导演,导演
21150,10296,导演,导演
21461,10296,导演,导演
21132,10297,导演,导演
21286,10298,导演,导演
21436,10299,导演,导演
20909,10300,导演,导演
20952,10301,导演,导演
20519,10302,导演,导演
21738,10303,导演,导演
21632,10304,导演,导演
20710,10305,导演,导演
21614,10305,导演,导演
20196,10306,导演,导演
21682,10307,导演,导演
20777,10307,导演,导演
20794,10307,导演,导演
21451,10308,导演,导演
20501,10309,导演,导演
20756,10310,导演,导演
21027,10311,导演,导演
20468,10312,导演,导演
20241,10313,导演,导演
21191,10314,导演,导演
20535,10315,导演,导演
21038,10316,导演,导演
21229,10317,导演,导演
21093,10318,导演,导演
20204,10319,导演,导演
20536,10320,导演,导演
21209,10321,导演,导演
21329,10322,导演,导演
20393,10323,导演,导演
20093,10324,导演,导演
20799,10325,导演,导演
21175,10326,导演,导演
21391,10327,导演,导演
21196,10328,导演,导演
20577,10329,导演,导演
21118,10329,导演,导演
20600,10329,导演,导演
21052,10330,导演,导演
20975,10331,导演,导演
21111,10331,导演,导演
20328,10332,导演,导演
20846,10333,导演,导演
20205,10334,导演,导演
21285,10335,导演,导演
20113,10336,导演,导演
21608,10337,导演,导演
20439,10338,导演,导演
21364,10339,导演,导演
20229,10340,导演,导演
20926,10341,导演,导演
20065,10342,导演,导演
20166,10343,导演,导演
20125,10344,导演,导演
20683,10345,导演,导演
21611,10346,导演,导演
21360,10347,导演,导演
20949,10348,导演,导演
20830,10349,导演,导演
21120,10350,导演,导演
20641,10351,导演,导演
20812,10352,导演,导演
21641,10353,导演,导演
21231,10354,导演,导演
20397,10355,导演,导演
20796,10356,导演,导演
21633,10357,导演,导演
21663,10358,导演,导演
21091,10359,导演,导演
21035,10360,导演,导演
20739,10361,导演,导演
21459,10362,导演,导演
20673,10362,导演,导演
20920,10363,导演,导演
21645,10364,导演,导演
20571,10365,导演,导演
21589,10366,导演,导演
21587,10367,导演,导演
20165,10368,导演,导演
20286,10369,导演,导演
20179,10370,导演,导演
21031,10371,导演,导演
20203,10372,导演,导演
21257,10373,导演,导演
20763,10374,导演,导演
21331,10375,导演,导演
21004,10376,导演,导演
20933,10377,导演,导演
21365,10378,导演,导演
20223,10379,导演,导演
20862,10380,导演,导演
21337,10380,导演,导演
20584,10381,导演,导演
20001,10382,导演,导演
21217,10383,导演,导演
21557,10384,导演,导演
20372,10385,导演,导演
20416,10386,导演,导演
21505,10387,导演,导演
21037,10388,导演,导演
21403,10389,导演,导演
20625,10390,导演,导演
20017,10391,导演,导演
20779,10392,导演,导演
20854,10393,导演,导演
21535,10394,导演,导演
20316,10395,导演,导演
20132,10395,导演,导演
21475,10395,导演,导演
20269,10396,导演,导演
20099,10397,导演,导演
21205,10397,导演,导演
20213,10398,导演,导演
