:START_ID,:END_ID,relation,:TYPE
10109,30009,类型,类型
10109,30022,类型,类型
10110,30024,类型,类型
10110,30001,类型,类型
10111,30002,类型,类型
10112,30016,类型,类型
10112,30006,类型,类型
10113,30002,类型,类型
10114,30002,类型,类型
10114,30015,类型,类型
10114,30009,类型,类型
10115,30002,类型,类型
10115,30016,类型,类型
10116,30006,类型,类型
10117,30002,类型,类型
10118,30002,类型,类型
10118,30016,类型,类型
10118,30014,类型,类型
10119,30013,类型,类型
10120,30026,类型,类型
10120,30014,类型,类型
10120,30003,类型,类型
10120,30029,类型,类型
10121,30016,类型,类型
10122,30026,类型,类型
10122,30014,类型,类型
10122,30029,类型,类型
10123,30002,类型,类型
10123,30008,类型,类型
10124,30016,类型,类型
10126,30026,类型,类型
10127,30016,类型,类型
10127,30006,类型,类型
10127,30009,类型,类型
10128,30002,类型,类型
10128,30007,类型,类型
10128,30013,类型,类型
10129,30026,类型,类型
10130,30016,类型,类型
10130,30006,类型,类型
10131,30021,类型,类型
10131,30010,类型,类型
10132,30006,类型,类型
10133,30026,类型,类型
10133,30009,类型,类型
10133,30029,类型,类型
10134,30016,类型,类型
10135,30016,类型,类型
10135,30024,类型,类型
10135,30004,类型,类型
10136,30002,类型,类型
10136,30006,类型,类型
10137,30016,类型,类型
10137,30006,类型,类型
10137,30009,类型,类型
10138,30015,类型,类型
10138,30004,类型,类型
10139,30006,类型,类型
10141,30002,类型,类型
10142,30016,类型,类型
10143,30002,类型,类型
10143,30024,类型,类型
10144,30002,类型,类型
10144,30006,类型,类型
10145,30002,类型,类型
10145,30006,类型,类型
10146,30002,类型,类型
10147,30009,类型,类型
10147,30029,类型,类型
10147,30022,类型,类型
10148,30002,类型,类型
10148,30016,类型,类型
10149,30002,类型,类型
10150,30002,类型,类型
10150,30016,类型,类型
10151,30030,类型,类型
10151,30011,类型,类型
10152,30016,类型,类型
10152,30006,类型,类型
10153,30002,类型,类型
10153,30006,类型,类型
10153,30027,类型,类型
10154,30016,类型,类型
10154,30026,类型,类型
10155,30002,类型,类型
10155,30006,类型,类型
10155,30009,类型,类型
10156,30002,类型,类型
10157,30006,类型,类型
10157,30018,类型,类型
10157,30007,类型,类型
10158,30002,类型,类型
10158,30024,类型,类型
10158,30015,类型,类型
10158,30022,类型,类型
10159,30016,类型,类型
10159,30004,类型,类型
10160,30002,类型,类型
10160,30003,类型,类型
10161,30016,类型,类型
10161,30026,类型,类型
10161,30029,类型,类型
10162,30014,类型,类型
10162,30003,类型,类型
10163,30002,类型,类型
10163,30017,类型,类型
10164,30016,类型,类型
10164,30026,类型,类型
10164,30029,类型,类型
10165,30021,类型,类型
10166,30016,类型,类型
10166,30003,类型,类型
10166,30009,类型,类型
10167,30002,类型,类型
10168,30016,类型,类型
10169,30002,类型,类型
10170,30024,类型,类型
10170,30029,类型,类型
